2026-02-02 00:51:29,054 - INFO - 开始导入所有股票数据（年份: [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]）
2026-02-02 00:51:29,138 - INFO - 发现 5112 只股票
2026-02-02 00:51:30,218 - INFO - 已缓存 0 只股票，需要导入 5112 只股票
2026-02-02 00:51:31,305 - INFO - 开始分批导入数据，共 103 批
2026-02-02 00:51:31,305 - INFO - 处理第 1/103 批: 0-50
2026-02-02 00:51:31,800 - ERROR - 处理股票 sz002735 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,805 - ERROR - 处理股票 sh603800 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,805 - ERROR - 处理股票 sh603708 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,810 - ERROR - 处理股票 sh600583 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,811 - ERROR - 处理股票 sh600531 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,830 - ERROR - 处理股票 sz002888 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,842 - ERROR - 处理股票 sh603109 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,848 - ERROR - 处理股票 sz000796 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,853 - ERROR - 处理股票 sh600017 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,853 - ERROR - 处理股票 sh688281 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,856 - ERROR - 处理股票 sz301379 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,877 - ERROR - 处理股票 sz301016 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,882 - ERROR - 处理股票 sz000552 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,884 - ERROR - 处理股票 sh603093 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,888 - ERROR - 处理股票 sz002664 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,889 - ERROR - 处理股票 sh600961 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,893 - ERROR - 处理股票 sz300919 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,895 - ERROR - 处理股票 sz000608 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,898 - ERROR - 处理股票 sz002319 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,899 - ERROR - 处理股票 sz300579 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,903 - ERROR - 处理股票 sh600064 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,921 - ERROR - 处理股票 sh603127 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,929 - ERROR - 处理股票 sz300783 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,935 - ERROR - 处理股票 sz001387 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,935 - ERROR - 处理股票 sh600056 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,941 - ERROR - 处理股票 sh603002 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,956 - ERROR - 处理股票 sz301229 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,963 - ERROR - 处理股票 sh600345 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,969 - ERROR - 处理股票 sz000661 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,974 - ERROR - 处理股票 sh601872 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,980 - ERROR - 处理股票 sh688513 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,982 - ERROR - 处理股票 sz301369 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:31,986 - ERROR - 处理股票 sz301166 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,018 - ERROR - 处理股票 sz300806 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,033 - ERROR - 处理股票 sz001222 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,039 - ERROR - 处理股票 sh601089 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,040 - ERROR - 处理股票 sz301120 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,046 - ERROR - 处理股票 sz002423 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,085 - ERROR - 处理股票 sh603956 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,090 - ERROR - 处理股票 sz002140 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,094 - ERROR - 处理股票 sz301047 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,099 - ERROR - 处理股票 sh600736 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,100 - ERROR - 处理股票 sh688576 时出错: Expected file path name or file-like object, got <class 'bytes'> type
